MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalBath,TotalPorchSF,TotalSF,Age,RemodAfter,AgeRemod,AgeSold,AgeSoldBefore,Age_Garage,Age_Garage_Sold
20,RL,70.0,11200,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,Ex,1040,0,1040,1,0,1,0,3,TA,5,Typ,0,No Fireplace,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,No Fence,No MiscFeature,2,2008,WD,Normal,129500,2.0,0,2080,45,0,45,2,43,45.0,43.0
60,RL,85.0,11924,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,Ex,1182,1142,2324,1,0,3,0,4,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,No Fence,No MiscFeature,7,2006,New,Partial,345000,4.0,21,3499,5,1,4,4,1,5.0,1.0
20,RL,70.04995836802665,12968,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,TA,912,0,912,1,0,1,0,2,TA,4,Typ,0,No Fireplace,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,No Fence,No MiscFeature,9,2008,WD,Normal,144000,2.0,176,1824,48,0,48,2,46,48.0,46.0
20,RL,91.0,10652,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Ex,1494,0,1494,0,0,2,0,3,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,No Fence,No MiscFeature,8,2007,New,Partial,279500,2.0,33,2988,4,1,3,3,1,4.0,1.0
20,RL,70.04995836802665,10920,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,TA,1253,0,1253,1,0,1,1,2,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,GdWo,No MiscFeature,5,2008,WD,Normal,157000,2.5,389,2506,50,0,50,2,48,50.0,48.0
45,RM,51.0,6120,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,Ex,854,0,854,0,0,1,0,2,TA,5,Typ,0,No Fireplace,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,GdPrv,No MiscFeature,7,2007,WD,Normal,132000,1.0,112,1686,81,72,9,3,78,19.0,16.0
20,RL,70.04995836802665,11241,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Ex,1004,0,1004,1,0,1,0,2,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,No Fence,Shed,3,2010,WD,Normal,149000,2.0,0,2008,40,0,40,0,40,40.0,40.0
90,RL,72.0,10791,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,None,0.0,TA,TA,Slab,No Basement,No Basement,No Basement,No Basement,0,No Basement,0,0,0,TA,1296,0,1296,0,0,2,0,2,TA,6,Typ,0,No Fireplace,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,No Fence,Shed,10,2006,WD,Normal,90000,2.0,0,1296,43,0,43,4,39,43.0,39.0
20,RL,66.0,13695,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,Ex,1114,0,1114,1,0,1,1,3,Gd,6,Typ,0,No Fireplace,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,No Fence,No MiscFeature,6,2008,WD,Normal,159000,2.5,102,2228,6,0,6,2,4,6.0,4.0
20,RL,70.0,7560,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,TA,1339,0,1339,0,0,1,0,3,TA,6,Min1,0,No Fireplace,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,MnPrv,No MiscFeature,5,2009,COD,Abnorml,139000,1.0,0,2368,52,7,45,1,51,52.0,51.0
60,RL,101.0,14215,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Ex,1158,1218,2376,0,0,3,1,4,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,No Fence,No MiscFeature,11,2006,New,Partial,325300,3.5,154,3534,5,1,4,4,1,5.0,1.0
45,RM,57.0,7449,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,Ex,1108,0,1108,0,0,1,0,3,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,GdPrv,No MiscFeature,6,2007,WD,Normal,139400,1.0,205,1745,80,20,60,3,77,80.0,77.0
20,RL,75.0,9742,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,Ex,1795,0,1795,0,0,2,0,3,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,No Fence,No MiscFeature,9,2008,WD,Normal,230000,2.0,159,3572,8,0,8,2,6,8.0,6.0
120,RM,44.0,4224,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,TA,1060,0,1060,1,0,1,0,3,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,No Fence,No MiscFeature,6,2007,WD,Normal,129900,2.0,110,2100,34,0,34,3,31,34.0,31.0
20,RL,70.04995836802665,8246,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Ex,1060,0,1060,1,0,1,0,3,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,MnPrv,No MiscFeature,5,2010,WD,Normal,154000,2.0,90,2120,42,33,9,0,42,42.0,42.0
20,RL,110.0,14230,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Ex,1600,0,1600,0,0,2,0,3,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,No Fence,No MiscFeature,7,2009,WD,Normal,256300,2.0,56,3166,3,0,3,1,2,3.0,2.0
20,RL,60.0,7200,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,TA,900,0,900,0,1,1,0,3,Gd,5,Typ,0,No Fireplace,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,No Fence,No MiscFeature,5,2010,WD,Normal,134800,1.5,32,1800,59,49,10,0,59,5.0,5.0
20,RL,98.0,11478,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Ex,1704,0,1704,1,0,2,0,3,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,No Fence,No MiscFeature,5,2010,WD,Normal,306000,3.0,50,3408,3,1,2,0,3,2.0,2.0
20,RL,47.0,16321,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,TA,1600,0,1600,1,0,1,0,2,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,No Fence,No MiscFeature,12,2006,WD,Normal,207500,2.0,258,3084,53,40,13,4,49,53.0,49.0
30,RM,60.0,6324,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,Fa,520,0,520,0,0,1,0,1,Fa,4,Typ,0,No Fireplace,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0,87,0,0,No Fence,No MiscFeature,5,2008,WD,Normal,68500,1.0,87,1040,83,23,60,2,81,90.0,88.0
70,C (all),50.0,8500,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,TA,649,668,1317,0,0,1,0,3,TA,6,Typ,0,No Fireplace,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,54,172,0,0,MnPrv,No MiscFeature,7,2008,WD,Normal,40000,1.0,226,1966,90,30,60,2,88,90.0,88.0
20,RL,70.04995836802665,8544,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,Gd,1228,0,1228,0,0,1,1,3,Gd,6,Typ,0,No Fireplace,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,MnPrv,No MiscFeature,6,2008,WD,Normal,149350,1.5,65,2456,44,40,4,2,42,44.0,42.0
20,RL,85.0,11049,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Ex,1234,0,1234,0,0,2,0,3,Gd,7,Typ,0,No Fireplace,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,No Fence,No MiscFeature,1,2008,WD,Normal,179900,2.0,30,2468,3,0,3,2,1,3.0,1.0
20,RL,70.0,10552,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,Gd,1700,0,1700,0,1,1,1,4,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,38,0,0,0,No Fence,No MiscFeature,4,2010,WD,Normal,165500,2.0,38,3098,51,0,51,0,51,51.0,51.0
120,RL,60.0,7313,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Ex,1561,0,1561,1,0,2,0,2,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,0,0,0,No Fence,No MiscFeature,8,2007,WD,Normal,277500,3.0,47,3122,5,0,5,3,2,5.0,2.0
60,RL,108.0,13418,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Ex,1132,1320,2452,0,0,3,1,4,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,32,0,0,0,No Fence,No MiscFeature,9,2006,WD,Normal,309000,3.5,32,3569,6,1,5,4,2,6.0,2.0
20,RL,112.0,10859,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,Ex,1097,0,1097,0,0,1,1,3,TA,6,Typ,0,No Fireplace,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,64,0,0,0,No Fence,No MiscFeature,6,2009,WD,Normal,145000,1.5,64,2194,16,1,15,1,15,15.0,14.0
20,RL,74.0,8532,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,Gd,1297,0,1297,0,1,1,0,3,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,0,0,0,No Fence,No MiscFeature,10,2009,WD,Normal,153000,1.5,0,2594,56,36,20,1,55,56.0,55.0
20,RL,68.0,7922,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,TA,1057,0,1057,1,0,1,0,3,Gd,5,Typ,0,No Fireplace,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,0,0,0,No Fence,No MiscFeature,1,2010,WD,Abnorml,109000,2.0,52,2114,57,54,3,0,57,57.0,57.0
90,RL,65.0,6040,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,0.0,TA,TA,PConc,No Basement,No Basement,No Basement,No Basement,0,No Basement,0,0,0,TA,1152,0,1152,0,0,2,0,2,Fa,6,Typ,0,No Fireplace,No Garage,1900.0,No Garage,0,0,No Garage,No Garage,N,0,0,0,0,0,No Fence,No MiscFeature,6,2008,WD,AdjLand,82000,2.0,0,1152,55,0,55,2,53,110.0,108.0
20,RL,84.0,8658,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,Ex,1324,0,1324,0,0,2,0,3,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,0,0,0,GdWo,No MiscFeature,12,2006,WD,Abnorml,160000,2.0,138,2412,45,0,45,4,41,45.0,41.0
20,RL,115.0,16905,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Gd,1328,0,1328,0,1,1,1,2,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,0,104,0,0,0,No Fence,No MiscFeature,7,2007,WD,Normal,170000,2.0,104,2678,51,0,51,3,48,51.0,48.0
85,RL,70.04995836802665,9180,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Gd,884,0,884,1,0,1,0,2,Gd,5,Typ,0,No Fireplace,Attchd,1983.0,RFn,2,504,TA,Gd,Y,240,0,0,0,0,MnPrv,No MiscFeature,12,2007,WD,Normal,144000,2.0,0,1724,27,0,27,3,24,27.0,24.0
20,RL,70.04995836802665,9200,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,TA,938,0,938,1,0,1,0,3,TA,5,Typ,0,No Fireplace,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,0,0,0,0,MnPrv,No MiscFeature,7,2008,WD,Normal,130250,2.0,0,1876,35,5,30,2,33,33.0,31.0
20,RL,70.0,7945,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,Ex,1150,0,1150,1,0,1,0,3,TA,6,Typ,0,No Fireplace,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,0,0,0,0,No Fence,No MiscFeature,5,2006,WD,Normal,141000,2.0,0,2300,51,0,51,4,47,51.0,47.0
120,RL,61.0,7658,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,1752,0,1752,1,0,2,0,2,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,82,0,0,0,No Fence,No MiscFeature,2,2010,WD,Normal,319900,3.0,82,3504,5,0,5,0,5,5.0,5.0
50,RL,48.0,12822,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Ex,1518,631,2149,1,0,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,670,TA,TA,Y,168,43,0,0,198,No Fence,No MiscFeature,8,2009,WD,Abnorml,239686,2.5,241,3583,7,0,7,1,6,7.0,6.0
20,FV,84.0,11096,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Ex,1656,0,1656,0,0,2,0,3,Gd,7,Typ,0,No Fireplace,Attchd,2006.0,RFn,3,826,TA,TA,Y,0,146,0,0,0,No Fence,No MiscFeature,7,2007,WD,Normal,249700,2.0,146,3312,4,0,4,3,1,4.0,1.0
190,RM,33.0,4456,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,Gd,736,716,1452,0,0,2,0,2,TA,8,Typ,0,No Fireplace,No Garage,1900.0,No Garage,0,0,No Garage,No Garage,N,0,0,102,0,0,No Fence,No MiscFeature,6,2009,New,Partial,113000,2.0,102,2188,90,88,2,1,89,110.0,109.0
20,RL,66.0,7742,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,Ex,955,0,955,1,0,1,0,3,TA,6,Typ,0,No Fireplace,Attchd,1966.0,Unf,1,386,TA,TA,Y,0,0,0,0,0,MnPrv,No MiscFeature,1,2007,WD,Normal,127000,2.0,0,1910,44,0,44,3,41,44.0,41.0
60,RL,70.04995836802665,13869,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,Gd,794,676,1470,0,1,2,0,3,TA,6,Typ,0,No Fireplace,Attchd,1997.0,Fin,2,388,TA,TA,Y,0,75,0,0,0,No Fence,No MiscFeature,7,2007,WD,Normal,177000,2.5,75,2264,13,0,13,3,10,13.0,10.0
